C       16O momentum distributions -- Van Orden
C
C       16O 1p1/2
 0.6808E+00 0.1960E-06
 0.6907E+00 0.2084E-06
 0.7005E+00 0.2076E-06
 0.7104E+00 0.1956E-06
 0.7203E+00 0.1757E-06
 0.7301E+00 0.1518E-06
 0.7400E+00 0.1272E-06
 0.7499E+00 0.1040E-06
 0.7597E+00 0.8363E-07
 0.7696E+00 0.6620E-07
 0.7795E+00 0.5151E-07
 0.7893E+00 0.3913E-07
 0.7992E+00 0.2875E-07
 0.8091E+00 0.2020E-07
 0.8189E+00 0.1342E-07
 0.8288E+00 0.8382E-08
 0.8387E+00 0.4911E-08
 0.8485E+00 0.2724E-08
 0.8584E+00 0.1460E-08
 0.8683E+00 0.7803E-09
 0.8781E+00 0.4245E-09
 0.8880E+00 0.2320E-09
 0.8979E+00 0.1200E-09
 0.9077E+00 0.5698E-10
C       16O 1s1/2
 0.0000E+00 0.1644E+01
 0.9867E-02 0.1632E+01
 0.1973E-01 0.1598E+01
 0.2960E-01 0.1542E+01
 0.3947E-01 0.1467E+01
 0.4933E-01 0.1377E+01
 0.5920E-01 0.1274E+01
 0.6907E-01 0.1163E+01
 0.7893E-01 0.1047E+01
 0.8880E-01 0.9299E+00
 0.9866E-01 0.8152E+00
 0.1085E+00 0.7053E+00
 0.1184E+00 0.6023E+00
 0.1283E+00 0.5078E+00
 0.1381E+00 0.4227E+00
 0.1480E+00 0.3473E+00
 0.1579E+00 0.2818E+00
 0.1677E+00 0.2257E+00
 0.1776E+00 0.1784E+00
 0.1875E+00 0.1392E+00
 0.1973E+00 0.1072E+00
 0.2072E+00 0.8137E-01
 0.2171E+00 0.6090E-01
 0.2269E+00 0.4491E-01
 0.2368E+00 0.3260E-01
 0.2467E+00 0.2327E-01
 0.2565E+00 0.1632E-01
 0.2664E+00 0.1122E-01
 0.2763E+00 0.7552E-02
 0.2861E+00 0.4963E-02
 0.2960E+00 0.3174E-02
 0.3059E+00 0.1967E-02
 0.3157E+00 0.1175E-02
 0.3256E+00 0.6711E-03
 0.3355E+00 0.3630E-03
 0.3453E+00 0.1835E-03
 0.3552E+00 0.8569E-04
 0.3651E+00 0.3730E-04
 0.3749E+00 0.1710E-04
 0.3848E+00 0.1156E-04
 0.3947E+00 0.1253E-04
 0.4045E+00 0.1542E-04
 0.4144E+00 0.1793E-04
 0.4243E+00 0.1915E-04
 0.4341E+00 0.1896E-04
 0.4440E+00 0.1761E-04
 0.4539E+00 0.1549E-04
 0.4637E+00 0.1298E-04
 0.4736E+00 0.1040E-04
 0.4835E+00 0.7988E-05
 0.4933E+00 0.5879E-05
 0.5032E+00 0.4140E-05
 0.5131E+00 0.2780E-05
 0.5229E+00 0.1770E-05
 0.5328E+00 0.1061E-05
 0.5427E+00 0.5953E-06
 0.5525E+00 0.3142E-06
 0.5624E+00 0.1651E-06
 0.5723E+00 0.1036E-06
 0.5821E+00 0.9506E-07
 0.5920E+00 0.1137E-06
 0.6019E+00 0.1418E-06
 0.6117E+00 0.1686E-06
 0.6216E+00 0.1879E-06
 0.6315E+00 0.1975E-06
 0.6413E+00 0.1974E-06
 0.6512E+00 0.1890E-06
 0.6611E+00 0.1742E-06
 0.6709E+00 0.1554E-06
 0.6808E+00 0.1345E-06
 0.6907E+00 0.1133E-06
 0.7005E+00 0.9292E-07
 0.7104E+00 0.7435E-07
 0.7203E+00 0.5807E-07
 0.7301E+00 0.4428E-07
 0.7400E+00 0.3296E-07
 0.7499E+00 0.2392E-07
 0.7597E+00 0.1691E-07
 0.7696E+00 0.1162E-07
 0.7795E+00 0.7734E-08
 0.7893E+00 0.4965E-08
 0.7992E+00 0.3055E-08
 0.8091E+00 0.1786E-08
 0.8189E+00 0.9799E-09
 0.8288E+00 0.4944E-09
 0.8387E+00 0.2223E-09
 0.8485E+00 0.8478E-10
 0.8584E+00 0.2683E-10
 0.8683E+00 0.1184E-10
 0.8781E+00 0.1688E-10
 0.8880E+00 0.2858E-10
 0.8979E+00 0.3984E-10
 0.9077E+00 0.4751E-10
