 0.2790E-01 0.3950E-01 0.4210E-01 0.4410E-01 0.4660E-01
 0.4920E-01 0.5170E-01 0.6440E-01 0.8970E-01 0.1404E+00
 0.2417E+00 0.3431E+00 0.4445E+00 0.5458E+00 2.5000E+01

 0.2561E-01 0.1324E+00 0.3147E+00 0.5561E+00 0.8354E+00
 0.1128E+01 0.1407E+01 0.1648E+01 0.1831E+01 0.1937E+01
 0.2013E+01 0.2223E+01 0.2592E+01 0.3100E+01 0.3726E+01
 0.4440E+01 0.5207E+01 0.5993E+01 0.6761E+01 0.7474E+01
 0.8100E+01 0.8609E+01 0.8977E+01 0.9188E+01 1.0000E+02

 0.3908E+03 0.3195E+03 0.1300E+03 0.2830E+02 0.4698E+01
 0.7284E+00 0.1211E+00 0.2713E-01 0.1089E-01 0.7450E-02
 0.6082E-02 0.4095E-02 0.2338E-02 0.9026E-03 0.1303E-03
 0.1890E-04 0.2921E-05 0.3285E-06 0.2412E-07 0.1731E-08
 0.1061E-09 0.8952E-12 0.7321E-11 0.1077E-10

 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00

 0.4281E+01 0.3620E+01 0.1572E+01 0.3910E+00 0.7841E-01
 0.1509E-01 0.3112E-02 0.7323E-03 0.3271E-03 0.2275E-03
 0.1872E-03 0.1200E-03 0.6537E-04 0.2596E-04 0.3641E-05
 0.5976E-06 0.8478E-07 0.8771E-08 0.1398E-08 0.3968E-10
 0.1152E-11 0.4103E-13 0.3028E-12 0.2923E-12

 0.4212E+01 0.3623E+01 0.1600E+01 0.4104E+00 0.8535E-01
 0.1701E-01 0.3616E-01 0.8688E-03 0.3951E-03 0.2764E-03
 0.2278E-03 0.1459E-03 0.7914E-04 0.3133E-04 0.4396E-05
 0.7208E-06 0.1021E-06 0.1061E-07 0.1683E-08 0.4796E-10
 0.1369E-11 0.4917E-13 0.3649E-12 0.3523E-12
